Category: All categories

Week,udemy: (United States),edx: (United States)
2022-01-02,100,17
2022-01-09,92,16
2022-01-16,83,13
2022-01-23,89,17
2022-01-30,83,15
2022-02-06,80,16
2022-02-13,81,18
2022-02-20,85,16
2022-02-27,78,13
2022-03-06,82,13
2022-03-13,75,13
2022-03-20,78,15
2022-03-27,80,15
2022-04-03,81,15
2022-04-10,83,13
2022-04-17,80,13
2022-04-24,73,15
2022-05-01,78,15
2022-05-08,82,15
2022-05-15,86,16
2022-05-22,86,12
2022-05-29,86,14
2022-06-05,85,16
2022-06-12,87,17
2022-06-19,95,14
2022-06-26,80,15
2022-07-03,79,14
2022-07-10,85,17
2022-07-17,87,14
2022-07-24,88,13
2022-07-31,91,12
2022-08-07,94,15
2022-08-14,89,15
2022-08-21,93,14
2022-08-28,82,16
2022-09-04,77,16
2022-09-11,85,15
2022-09-18,85,17
2022-09-25,74,14
2022-10-02,74,13
2022-10-09,74,13
2022-10-16,75,14
2022-10-23,73,12
2022-10-30,76,14
2022-11-06,73,12
2022-11-13,80,14
2022-11-20,77,12
2022-11-27,87,13
2022-12-04,75,12
2022-12-11,76,15
2022-12-18,78,11
2022-12-25,80,12
2023-01-01,97,16
2023-01-08,97,16
2023-01-15,85,14
2023-01-22,96,15
2023-01-29,94,15
2023-02-05,87,16
2023-02-12,90,16
2023-02-19,84,16
2023-02-26,88,16
