,title,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,course_effort,course_length,price
0,How to Learn Online,124980,Self-paced on your time,edX,Nina Huntemann-Robyn Belair-Ben Piscopo,Introductory,Education & Teacher Training,English,English,2–3 hours per week,2,49.0
1,Programming for Everybody (Getting Started with Python),293864,Self-paced on your time,The University of Michigan,Charles Severance,Introductory,Computer Science,English,English,2–4 hours per week,7,49.0
2,CS50's Introduction to Computer Science,2442271,Self-paced on your time,Harvard University,David J. Malan-Doug Lloyd-Brian Yu,Introductory,Computer Science,English,English,6–18 hours per week,12,90.0
3,The Analytics Edge,129555,Instructor-led on a course schedule,Massachusetts Institute of Technology,Dimitris Bertsimas-Allison O'Hair-John Silberholz-Iain Dunning,Intermediate,Data Analysis & Statistics,English,English,10–15 hours per week,13,199.0
4,Marketing Analytics: Marketing Measurement Strategy,81140,Self-paced on your time,"University of California, Berkeley",Stephan Sorger,Introductory,Computer Science,English,English,5–7 hours per week,4,249.0
5,Introduction to Project Management,301793,Self-paced on your time,University of Adelaide,Frank Schultmann-Noel Lindsay-Anton Jordaan-John Sing,Introductory,Business & Management,English,English,2–3 hours per week,6,199.0
6,Leading High-Performing Teams,32847,Self-paced on your time,The University of Queensland,Tyler G. Okimoto,Intermediate,Communication,English,English,8–10 hours per week,10,5.0
7,The Foundations of Happiness at Work,67073,Self-paced on your time,"University of California, Berkeley",Dacher Keltner-Emiliana Simon-Thomas,Introductory,Business & Management,English,English,2–3 hours per week,4,199.0
8,"Managing Study, Stress and Mental Health at University",23061,Self-paced on your time,Curtin University,Ben Milbourn-Craig Thompson-Sonya Girdler-Frank Zimmerman,Introductory,Health & Safety,English,English,1–3 hours per week,2,49.0
9,Six Sigma: Define and Measure,92411,Self-paced on your time,Technische Universität München,Martin Grunow-Holly Ott,Introductory,Business & Management,English,English,3–4 hours per week,8,99.0
10,Fat Chance: Probability from the Ground Up,66835,Self-paced on your time,Harvard University,Benedict Gross-Joseph Harris-Emily Riehl,Introductory,Math,English,English,3–5 hours per week,7,49.0
11,Chasing your Dream: How to End Procrastination and Get a Job You Love,44711,Self-paced on your time,National Research Nuclear University,Pavel Kochkin,Introductory,Communication,English,English,2–6 hours per week,5,49.0
12,Bitcoin and Cryptocurrencies,83398,Self-paced on your time,"University of California, Berkeley",Rustie Lin-Mengyi (Gloria) Wang,Introductory,Computer Science,English,English,3–5 hours per week,6,99.0
13,English Grammar and Style,0,Instructor-led on a course schedule,The University of Queensland,Roslyn Petelin,Introductory,Humanities,English,English,3–4 hours per week,8,99.0
14,Ethics in Action,6366,Self-paced on your time,SDG Academy,Dr. William Vendley-Jeffrey D. Sachs,Intermediate,Ethics,English,"English, Español, Русский",2–4 hours per week,10,49.0
15,Introduction to FinTech,72767,Self-paced on your time,University of Hong Kong,Douglas Arner-Janos Barberis-Huy Nguyen Trieu-Ross Buckley,Introductory,Economics & Finance,English,"English, 中文, 中文",1–3 hours per week,6,199.0
16,Data Science: R Basics,528782,Self-paced on your time,Harvard University,Rafael Irizarry,Introductory,Data Analysis & Statistics,English,English,1–2 hours per week,8,49.0
17,Python Basics for Data Science,228809,Self-paced on your time,IBM,Joseph Santarcangelo,Introductory,Data Analysis & Statistics,English,English,2–5 hours per week,5,39.0
18,The Science of Beer,39085,Self-paced on your time,Wageningen University & Research,Sander Breevaart-Florence Scherer-Nico van der Veen-Esther Kunst,Introductory,Food & Nutrition,English,English,2–4 hours per week,6,49.0
19,Strategic Social Media Marketing,103640,Instructor-led on a course schedule,Boston University,Barbara Bickart,Advanced,Business & Management,English,English,4–6 hours per week,6,399.0
20,CS50's Introduction to Artificial Intelligence with Python,258006,Self-paced on your time,Harvard University,David J. Malan-Brian Yu,Introductory,Computer Science,English,English,10–30 hours per week,7,199.0
21,CS50's Introduction to Game Development,346748,Self-paced on your time,Harvard University,David J. Malan-Colton Ogden,Intermediate,Computer Science,English,English,6–9 hours per week,12,149.0
22,Rhetoric: The Art of Persuasive Writing and Public Speaking,320225,Self-paced on your time,Harvard University,James Engell,Introductory,Humanities,English,English,2–3 hours per week,8,99.0
23,CS50's Web Programming with Python and JavaScript,698950,Self-paced on your time,Harvard University,David J. Malan-Brian Yu,Intermediate,Computer Science,English,English,6–9 hours per week,12,90.0
24,Contract Law: From Trust to Promise to Contract,414181,Self-paced on your time,Harvard University,Charles Fried,Intermediate,Business & Management,English,English,3–6 hours per week,8,125.0
25,"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",380167,Self-paced on your time,Harvard University,David Cox,Introductory,Biology & Life Sciences,English,English,3–5 hours per week,5,99.0
26,Justice,392588,Self-paced on your time,Harvard University,Michael J. Sandel,Introductory,Humanities,English,"Deutsch, English, Español, Português, 中文",3–6 hours per week,12,99.0
27,Data Science: Machine Learning,276209,Self-paced on your time,Harvard University,Rafael Irizarry,Introductory,Data Analysis & Statistics,English,English,2–4 hours per week,8,49.0
28,Child Protection: Children's Rights in Theory and Practice,212453,Self-paced on your time,Harvard University,Jacqueline Bhabha,Introductory,Social Sciences,English,English,2–6 hours per week,16,99.0
29,IELTS Academic Test Preparation,1103777,Self-paced on your time,The University of Queensland,Iain Mathieson-Martin Dutton-Megan Yucel-Stephen Walker,Introductory,Communication,English,English,5–10 hours per week,8,99.0
30,The Architectural Imagination,406181,Self-paced on your time,Harvard University,Lisa Haber-Thomson-K. Michael Hays-Erika Naginski-Antoine Picon,Introductory,Architecture,English,English,3–5 hours per week,10,99.0
31,TOEFL® Test Preparation: The Insider’s Guide,1022489,Self-paced on your time,Educational Testing Service,Michael Knab-Cynthia Newman-Shawn Gorman-Molly Palmer,Introductory,Communication,English,English,2–4 hours per week,6,49.0
32,Principles of Biochemistry,257600,Self-paced on your time,Harvard University,Alain Viel-Rachelle Gaudet,Intermediate,Medicine,English,English,4–6 hours per week,15,199.0
33,Using Python for Research,262183,Self-paced on your time,Harvard University,"Jukka-Pekka ""JP"" Onnela",Intermediate,Computer Science,English,English,2–4 hours per week,12,99.0
34,Hinduism Through Its Scriptures,140782,Self-paced on your time,Harvard University,Neelima Shukla-Bhatt-Jason Smith,Introductory,Humanities,English,English,5–10 hours per week,4,99.0
35,Basic Spanish 1: Getting Started,400169,Self-paced on your time,Universitat Politècnica de Valencia,Prof. Ana Gimeno-Virginia González-Cristina Navarro-Begoña García Migura,Introductory,Communication,English,"English, Español",4–5 hours per week,7,40.0
36,The Health Effects of Climate Change,110024,Self-paced on your time,Harvard University,Aaron Bernstein-Ashish Jha,Introductory,Environmental Studies,English,English,3–5 hours per week,7,99.0
37,Inglés básico: conversacional y networking,79671,Self-paced on your time,Universidades Anáhuac,Judith Margarete Towle Wachenheim-Isabel Rosado Richard-Jorge Ernesto Peniche Rosales-Andrea Josefina Sansores Ruz,Introductory,Business & Management,Español,"English, Español",5–8 hours per week,4,49.0
38,Statistics and R,314586,Self-paced on your time,Harvard University,Rafael Irizarry-Michael Love,Intermediate,Data Analysis & Statistics,English,English,2–4 hours per week,4,249.0
39,Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),145011,Self-paced on your time,Harvard University,Michael Brenner-David Weitz-Pia Sörensen,Introductory,Chemistry,English,English,2–3 hours per week,16,199.0
40,Pyramids of Giza: Ancient Egyptian Art and Archaeology,123870,Self-paced on your time,Harvard University,Peter Der Manuelian,Introductory,Art & Culture,English,English,2–4 hours per week,8,99.0
41,"PredictionX: Omens, Oracles & Prophecies",91566,Self-paced on your time,Harvard University,Alyssa Goodman,Introductory,Social Sciences,English,English,3–5 hours per week,1,25.0
42,Excel: Fundamentos y herramientas,284279,Self-paced on your time,Universitat Politècnica de Valencia,Jaime Busquets Mataix-Víctor Braquehais Acero,Introductory,Computer Science,Español,Español,3–4 hours per week,8,50.0
43,Lessons from Ebola: Preventing the Next Pandemic,91983,Self-paced on your time,Harvard University,Ashish Jha,Introductory,Social Sciences,English,English,3–5 hours per week,4,49.0
44,Improving Global Health: Focusing on Quality and Safety,127353,Self-paced on your time,Harvard University,Ashish Jha,Intermediate,Social Sciences,English,English,2–4 hours per week,10,99.0
45,CS50 for Lawyers,87336,Self-paced on your time,Harvard University,Doug Lloyd-David J. Malan,Introductory,Computer Science,English,English,3–6 hours per week,10,99.0
46,Data Science: Visualization,171258,Self-paced on your time,Harvard University,Rafael Irizarry,Introductory,Data Analysis & Statistics,English,English,1–2 hours per week,8,49.0
47,Christianity Through Its Scriptures,125051,Self-paced on your time,Harvard University,Karen L. King-Sarah Griffis,Introductory,Humanities,English,English,5–10 hours per week,4,99.0
48,The Science of Happiness,475614,Self-paced on your time,"University of California, Berkeley",Dacher Keltner-Emiliana Simon-Thomas,Introductory,Social Sciences,English,English,4–5 hours per week,11,169.0
49,Leaders of Learning,231131,Self-paced on your time,Harvard University,Richard Elmore,Introductory,Communication,English,"English, Español",2–4 hours per week,10,99.0
50,Exercising Leadership: Foundational Principles,57814,Self-paced on your time,Harvard University,Ronald Heifetz,Introductory,Business & Management,English,English,2–3 hours per week,4,99.0
51,Data Science: Probability,135859,Self-paced on your time,Harvard University,Rafael Irizarry,Introductory,Data Analysis & Statistics,English,English,1–2 hours per week,8,49.0
52,Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,117410,Self-paced on your time,Harvard University,Kathryn Parker Boudett,Intermediate,Education & Teacher Training,English,"English, Español",1–2 hours per week,10,70.0
53,"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context",80082,Self-paced on your time,Harvard University,Aaron Kesselheim-Jonathan Darrow-Ameet Sarpatwari-Jerry Avorn,Introductory,Medicine,English,English,2–5 hours per week,8,99.0
54,Introduction to Family Engagement in Education,105146,Self-paced on your time,Harvard University,Karen L. Mapp,Introductory,Education & Teacher Training,English,English,2–4 hours per week,6,70.0
55,Italian Language and Culture: Beginner (2019-2020),182462,Self-paced on your time,Wellesley College,Daniela Bartalesi-Graf,Introductory,Language,Italiano,Italiano,2–5 hours per week,12,49.0
56,Steps in Japanese for Beginners1 Part1,53630,Self-paced on your time,Waseda University,Naoko Kinoshita,Introductory,Language,English,"English, 日本語",3–5 hours per week,5,49.0
57,How to Write an Essay,306787,Self-paced on your time,"University of California, Berkeley",Maggie Sokolik,Introductory,Humanities,English,English,5–6 hours per week,5,49.0
58,Energy Within Environmental Constraints,95324,Self-paced on your time,Harvard University,David Keith-Daniel Thorpe,Introductory,Environmental Studies,English,English,3–5 hours per week,10,99.0
59,Introduction to Probability,97291,Self-paced on your time,Harvard University,Joseph Blitzstein,Intermediate,Data Analysis & Statistics,English,English,5–10 hours per week,10,99.0
60,AnatomyX: Musculoskeletal Cases,102075,Self-paced on your time,Harvard University,"Trudy Van Houten-Michael Parker-Alexander Bick, M.D., Ph.D.",Intermediate,Medicine,English,English,3–6 hours per week,7,99.0
61,Data Science: Inference and Modeling,88256,Self-paced on your time,Harvard University,Rafael Irizarry,Introductory,Data Analysis & Statistics,English,English,1–2 hours per week,8,49.0
62,Strengthening Community Health Worker Programs,58626,Self-paced on your time,Harvard University,Rajesh Ramesh Panjabi,Introductory,Health & Safety,English,English,2–4 hours per week,6,79.0
63,Buddhism Through Its Scriptures,182295,Self-paced on your time,Harvard University,Charles Hallisey-Alexis Bader,Introductory,Humanities,English,English,5–10 hours per week,4,99.0
64,Introduction to Linux,642088,Self-paced on your time,The Linux Foundation,Jerry Cooperstein,Introductory,Computer Science,English,English,5–7 hours per week,14,199.0
65,"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",81221,Self-paced on your time,Harvard University,I. Glenn Cohen,Introductory,Medicine,English,English,1–2 hours per week,10,99.0
66,Shakespeare's Life and Work,48938,Self-paced on your time,Harvard University,Stephen Greenblatt,Introductory,Humanities,English,English,5–7 hours per week,4,49.0
67,Marketing Digital: Content & Community Manager,112623,Self-paced on your time,Universidad Galileo,Jojo Giuffra-Miguel Morales-Rocael Hernández,Introductory,Communication,Español,Español,3–4 hours per week,5,49.0
68,Accounting and Finance,88243,Self-paced on your time,Indian Institute of Management Bangalore,MS Narasimhan,Intermediate,Business & Management,English,"English, हिन्दी",2–4 hours per week,11,150.0
69,Computing in Python I: Fundamentals and Procedural Programming,141966,Self-paced on your time,The Georgia Institute of Technology,David Joyner,Introductory,Computer Science,English,English,9–10 hours per week,5,99.0
70,"Nutrition, Exercise and Sports",51679,Self-paced on your time,Wageningen University & Research,Dr. Marco Mensink-Rieneke Terink MSc-Pol Grootswagers MSc,Intermediate,Food & Nutrition,English,English,4–8 hours per week,6,49.0
71,Becoming an Entrepreneur,104760,Self-paced on your time,Massachusetts Institute of Technology,Martin Culpepper-Laurie Stach,Introductory,Business & Management,English,English,1–3 hours per week,6,69.0
72,"Religion, Conflict and Peace",74060,Self-paced on your time,Harvard University,Diane L. Moore,Introductory,Humanities,English,English,4–8 hours per week,8,49.0
73,"Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You",61139,Self-paced on your time,Harvard University,Sarah Carter-Ivan Gaskell-Sara Schechner-Laurel Thatcher Ulrich,Introductory,Humanities,English,English,1–3 hours per week,10,49.0
74,Academic and Business Writing,322701,Self-paced on your time,"University of California, Berkeley",Maggie Sokolik,Introductory,Communication,English,English,3–5 hours per week,6,49.0
75,Data Science: Capstone,62803,Self-paced on your time,Harvard University,Rafael Irizarry,Introductory,Data Analysis & Statistics,English,English,15–20 hours per week,2,99.0
76,Basics of Computing and Programming,37045,Self-paced on your time,New York University,Itay Tal-Aspen Olmsted,Introductory,Computer Science,English,English,6–8 hours per week,9,200.0
77,"Fundamentals of Neuroscience, Part 2: Neurons and Networks",84874,Self-paced on your time,Harvard University,David Cox,Introductory,Biology & Life Sciences,English,English,3–5 hours per week,6,99.0
78,Successful Negotiation: Essential Strategies and Skills,31369,Self-paced on your time,The University of Michigan,George Siedel,Introductory,Business & Management,English,English,2–4 hours per week,7,49.0
79,Data Science: Linear Regression,75310,Self-paced on your time,Harvard University,Rafael Irizarry,Introductory,Data Analysis & Statistics,English,English,1–2 hours per week,8,49.0
80,HTML5 and CSS Fundamentals,335895,Self-paced on your time,The World Wide Web Consortium (W3C),Marwa Hussein-Andrew Byrne-Adrian Leven-Gerry O'Brien,Introductory,Computer Science,English,English,4–6 hours per week,6,199.0
81,Data Science: Productivity Tools,66683,Self-paced on your time,Harvard University,Rafael Irizarry,Introductory,Data Analysis & Statistics,English,English,1–2 hours per week,8,49.0
82,Introduction to Corporate Finance,98093,Self-paced on your time,Columbia University,Daniel Wolfenzon,Introductory,Business & Management,English,English,3–4 hours per week,4,225.0
83,Computer Science 101,39540,Self-paced on your time,Stanford University,Nick Parlante,Introductory,Computer Science,English,English,4–6 hours per week,6,149.0
84,Data Science: Wrangling,64584,Self-paced on your time,Harvard University,Rafael Irizarry,Introductory,Data Analysis & Statistics,English,English,1–2 hours per week,8,49.0
85,A Hands-on Introduction to Engineering Simulations,187138,Self-paced on your time,Cornell University,Rajesh Bhaskaran,Intermediate,Engineering,English,English,4–6 hours per week,6,199.0
86,AI for Everyone: Master the Basics,49340,Self-paced on your time,IBM,Rav Ahuja,Introductory,Computer Science,English,English,1–2 hours per week,4,49.0
87,The Psychology of Criminal Justice,110086,Self-paced on your time,The University of Queensland,Blake McKimmie-Mark Horswill-Barbara Masser,Introductory,Humanities,English,English,1–2 hours per week,8,99.0
88,Machine Learning with Python: A Practical Introduction,80161,Self-paced on your time,IBM,Saeed Aghabozorgi,Introductory,Data Analysis & Statistics,English,English,4–6 hours per week,5,39.0
89,Analyzing Data with Python,94079,Self-paced on your time,IBM,Joseph Santarcangelo,Introductory,Data Analysis & Statistics,English,English,2–4 hours per week,5,39.0
90,Excel: gestión de datos,111785,Self-paced on your time,Universitat Politècnica de Valencia,Jaime Busquets Mataix-Víctor Braquehais Acero,Intermediate,Computer Science,Español,Español,4–6 hours per week,6,75.0
91,Probability - The Science of Uncertainty and Data,205615,Instructor-led on a course schedule,Massachusetts Institute of Technology,John Tsitsiklis-Dimitri Bertsekas-Patrick Jaillet-Karene Chu,Advanced,Data Analysis & Statistics,English,English,10–14 hours per week,16,300.0
92,"Fundamentals of Neuroscience, Part 3: The Brain",85034,Self-paced on your time,Harvard University,David Cox,Introductory,Biology & Life Sciences,English,English,3–5 hours per week,8,99.0
93,Sikhism Through Its Scriptures,44125,Self-paced on your time,Harvard University,Harpreet Singh-Ravinder Singh-Damanpreet Singh,Introductory,Humanities,English,English,5–10 hours per week,4,99.0
94,Upper-Intermediate English: Business and Modern Life,77991,Self-paced on your time,Universitat Politècnica de Valencia,Prof. Ana Gimeno,Intermediate,Language,English,English,3–5 hours per week,4,50.0
95,Introduction to Probability,97291,Self-paced on your time,Harvard University,Joseph Blitzstein,Intermediate,Data Analysis & Statistics,English,English,5–10 hours per week,10,99.0
96,Religious Literacy: Traditions and Scriptures,96972,Self-paced on your time,Harvard University,Diane L. Moore-Anna Mudd,Introductory,Humanities,English,English,5–10 hours per week,4,99.0
97,Programación para todos (empezando con Python),81004,Self-paced on your time,The University of Michigan,Charles Severance,Introductory,Computer Science,Español,Español,2–4 hours per week,7,49.0
98,Analyzing and Visualizing Data with Power BI,28879,Self-paced on your time,Davidson College,Pete Benbow,Introductory,Data Analysis & Statistics,English,English,10–20 hours per week,4,99.0
99,High-Dimensional Data Analysis,78443,Self-paced on your time,Harvard University,Rafael Irizarry-Michael Love,Advanced,Data Analysis & Statistics,English,English,2–4 hours per week,4,149.0
100,Introduction To Music Theory,67029,Self-paced on your time,Berklee College of Music,George Russell,Introductory,Humanities,English,English,3–5 hours per week,6,49.0
101,Human Anatomy,126850,Self-paced on your time,The Hong Kong Polytechnic University,John Yuen-Benson Lau-Allen Cheong-Richard Li,Introductory,Medicine,English,English,2–4 hours per week,8,139.0
102,"CitiesX: The Past, Present and Future of Urban Life",76874,Self-paced on your time,Harvard University,Edward Glaeser,Introductory,Social Sciences,English,"English, Português",5–7 hours per week,11,99.0
103,The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life,24208,Self-paced on your time,Harvard University,Michael Puett,Introductory,Philosophy & Ethics,English,English,1–2 hours per week,13,99.0
104,Entrepreneurship 101: Who is your customer?,41838,Self-paced on your time,Massachusetts Institute of Technology,Bill Aulet-Erdin Beshimov,Introductory,Business & Management,English,English,2–4 hours per week,10,49.0
105,"U.S. Public Policy: Social, Economic, and Foreign Policies",44045,Self-paced on your time,Harvard University,Thomas E. Patterson,Introductory,Social Sciences,English,English,2–4 hours per week,4,49.0
106,Machine Learning with Python: from Linear Models to Deep Learning,85561,Instructor-led on a course schedule,Massachusetts Institute of Technology,Regina Barzilay-Tommi Jaakkola-Karene Chu,Advanced,Computer Science,English,English,10–14 hours per week,15,300.0
107,Introduction to Data Science,43766,Self-paced on your time,IBM,Alex Aklson,Introductory,Data Analysis & Statistics,English,English,3–6 hours per week,6,39.0
108,Circuits and Electronics 1: Basic Circuit Analysis,52639,Self-paced on your time,Massachusetts Institute of Technology,Anant Agarwal-Gerald Sussman-Piotr Mitros-Chris Terman,Introductory,Electronics,English,"English, 中文",5–7 hours per week,5,169.0
109,Introduction to Investments,91788,Self-paced on your time,Indian Institute of Management Bangalore,S.G. Badrinath,Intermediate,Business & Management,English,English,3–5 hours per week,5,50.0
110,Improving Your Business Through a Culture of Health,54136,Self-paced on your time,Harvard University,John McDonough-Howard Koh-Amy Edmondson-Jose Alvarez,Introductory,Business & Management,English,English,1–3 hours per week,9,99.0
111,Introduction to Linear Models and Matrix Algebra,92004,Self-paced on your time,Harvard University,Rafael Irizarry-Michael Love,Intermediate,Math,English,English,2–4 hours per week,4,149.0
112,DO Your Venture: Entrepreneurship For Everyone,61989,Self-paced on your time,Indian Institute of Management Bangalore,Suresh Bhagavatula,Introductory,Business & Management,English,"English, हिन्दी",3–4 hours per week,6,150.0
113,El valor de la creatividad y la innovación: La Economía Naranja,23728,Self-paced on your time,Inter-American Development Bank,Marina Casciano-Micaela Cordero-Helga Flores Trejo-Matteo Grazzi,Introductory,Art & Culture,Español,Español,2–4 hours per week,8,25.0
114,Humanitarian Response to Conflict and Disaster,119891,Self-paced on your time,Harvard University,Jennifer Leaning-Michael VanRooyen,Introductory,Health & Safety,English,English,3–4 hours per week,5,99.0
115,"Women Making History: Ten Objects, Many Stories",38939,Self-paced on your time,Harvard University,Laurel Thatcher Ulrich-Jane Kamensky,Introductory,History,English,English,2–3 hours per week,8,99.0
116,Masterpieces of World Literature,88789,Self-paced on your time,Harvard University,David Damrosch-Martin Puchner,Introductory,Literature,English,English,5–7 hours per week,12,149.0
117,SQL for Data Science,39184,Self-paced on your time,IBM,Rav Ahuja,Introductory,Data Analysis & Statistics,English,English,2–4 hours per week,4,39.0
118,El cerebro y las emociones en el lenguaje,41279,Self-paced on your time,Universidad del Rosario,Ángela Martínez Rodríguez-Janeth Hernández Jaramillo,Introductory,Communication,Español,Español,4–5 hours per week,5,49.0
119,Science & Cooking: From Haute Cuisine to Soft Matter Science (physics),62673,Self-paced on your time,Harvard University,Michael Brenner-David Weitz-Pia Sörensen,Introductory,Physics,English,English,2–3 hours per week,16,169.0
120,Python: aprender a programar,21613,Self-paced on your time,Universitat Politècnica de Valencia,Leonardo Salom Muñoz,Introductory,Computer Science,Español,Español,3–4 hours per week,8,49.0
